authors_parsed
"[['Farias', 'Vivek F.', ''], ['Moallemi', 'Ciamac C.', ''], ['Weissman', 'Tsachy', ''], ['Van Roy', 'Benjamin', '']]"
"[['Piotrowski', 'Edward W.', ''], ['Sladkowski', 'Jan', ''], ['Szczypinska', 'Anna', '']]"
"[['Whitbrook', 'Amanda', ''], ['Aickelin', 'Uwe', ''], ['Garibaldi', 'Jonathan', '']]"
"[['Fairbank', 'Michael', '']]"
"[['Ellowitz', 'Jake', '']]"
"[['Kormushev', 'Petar', ''], ['Nomoto', 'Kohei', ''], ['Dong', 'Fangyan', ''], ['Hirota', 'Kaoru', '']]"
"[['Hutter', 'Marcus', '']]"
"[['Mastronarde', 'Nicholas', ''], ['van der Schaar', 'Mihaela', '']]"
"[['Filippi', 'Sarah', ''], ['Cappé', 'Olivier', ''], ['Garivier', 'Aurélien', '']]"
"[['Di Castro', 'Dotan', ''], ['Mannor', 'Shie', '']]"
"[['Yahya', 'Keyvan', ''], ['Fard', 'Pouyan Rafiei', '']]"
"[['Yahya', 'Keyvan', ''], ['Fard', 'Pouyan Rafiei', '']]"
"[['Veness', 'Joel', ''], ['Ng', 'Kee Siong', ''], ['Hutter', 'Marcus', ''], ['Silver', 'David', '']]"
"[['Izhak-Ratzin', 'Rafit', ''], ['Park', 'Hyunggon', ''], ['van der Schaar', 'Mihaela', '']]"
"[['Pandey', 'Punit', ''], ['Pandey', 'Deepshikha', ''], ['Kumar', 'Shishir', '']]"
"[['Rawlik', 'Konrad', ''], ['Toussaint', 'Marc', ''], ['Vijayakumar', 'Sethu', '']]"
"[['Mastronarde', 'Nicholas', ''], ['van der Schaar', 'Mihaela', '']]"
"[['Sagha', 'Hesam', ''], ['Shouraki', 'Saeed Bagheri', ''], ['Khasteh', 'Hosein', ''], ['Kiaei', 'Ali Akbar', '']]"
"[['Saad', 'Emad', '']]"
"[['Saad', 'Emad', '']]"
"[['Brochu', 'Eric', ''], ['Cora', 'Vlad M.', ''], ['de Freitas', 'Nando', '']]"
"[['Fairbank', 'Michael', ''], ['Alonso', 'Eduardo', '']]"
"[['Matuz', 'Gabor', ''], ['Lorincz', 'Andras', '']]"
"[['Hu', 'Yilei', ''], ['Skyrms', 'Brian', ''], ['Tarrès', 'Pierre', '']]"
"[['Hester', 'Todd', ''], ['Quinlan', 'Michael', ''], ['Stone', 'Peter', '']]"
"[['Grefenstette', 'J. J.', ''], ['Moriarty', 'D. E.', ''], ['Schultz', 'A. C.', '']]"
"[['Walker', 'M. A.', '']]"
"[['Kearns', 'M.', ''], ['Litman', 'D.', ''], ['Singh', 'S.', ''], ['Walker', 'M.', '']]"
"[['Boutilier', 'C.', ''], ['Price', 'B.', '']]"
"[['He', 'H.', ''], ['Hu', 'D.', ''], ['Xu', 'X.', '']]"
"[['Hennig', 'Philipp', '']]"
"[['Oksanen', 'Jan', ''], ['Lundén', 'Jarmo', ''], ['Koivunen', 'Visa', '']]"
"[['Drummond', 'C.', '']]"
"[['Celaya', 'E.', ''], ['Porta', 'J. M.', '']]"
"[['Dulac-Arnold', 'Gabriel', ''], ['Denoyer', 'Ludovic', ''], ['Gallinari', 'Patrick', '']]"
"[['Fairbank', 'Michael', ''], ['Alonso', 'Eduardo', '']]"
"[['Sunehag', 'Peter', ''], ['Hutter', 'Marcus', '']]"
"[['Nguyen', 'Phuong', ''], ['Sunehag', 'Peter', ''], ['Hutter', 'Marcus', '']]"
"[['Geibel', 'P.', ''], ['Wysotzki', 'F.', '']]"
"[['Krishnamurthy', 'Vikram', ''], ['Abad', 'Felisa Vazquez', '']]"
"[['Little', 'Daniel Y.', ''], ['Sommer', 'Friedrich T.', '']]"
"[['Modayil', 'Joseph', ''], ['White', 'Adam', ''], ['Sutton', 'Richard S.', '']]"
"[['Graziano', 'Vincent', ''], ['Gomez', 'Faustino', ''], ['Ring', 'Mark', ''], ['Schmidhuber', 'Juergen', '']]"
"[['Jung', 'Tobias', ''], ['Stone', 'Peter', '']]"
"[['Ratia', 'Héctor', ''], ['Montesano', 'Luis', ''], ['Martinez-Cantin', 'Ruben', '']]"
"[['Fard', 'Mahdi MIlani', ''], ['Pineau', 'Joelle', ''], ['Szepesvari', 'Csaba', '']]"
"[['B', 'Ananda Narayanan', ''], ['Ravindran', 'Balaraman', '']]"
"[['Fonteneau', 'Raphael', ''], ['Ernst', 'Damien', ''], ['Boigelot', 'Bernard', ''], ['Louveaux', 'Quentin', '']]"
"[['Mohan', 'Shiwali', ''], ['Laird', 'John E.', '']]"
"[['Dulac-Arnold', 'Gabriel', ''], ['Denoyer', 'Ludovic', ''], ['Preux', 'Philippe', ''], ['Gallinari', 'Patrick', '']]"
"[['Ross', 'Stephane', ''], ['Bagnell', 'J. Andrew', '']]"
"[['Glaubius', 'Robert', ''], ['Tidwell', 'Terry', ''], ['Gill', 'Christopher', ''], ['Smart', 'William D.', '']]"
"[['Morimura', 'Tetsuro', ''], ['Sugiyama', 'Masashi', ''], ['Kashima', 'Hisashi', ''], ['Hachiya', 'Hirotaka', ''], ['Tanaka', 'Toshiyuki', '']]"
"[['Sorg', 'Jonathan', ''], ['Singh', 'Satinder', ''], ['Lewis', 'Richard L.', '']]"
"[['Kar', 'Soummya', ''], ['Moura', ""Jose' M. F."", ''], ['Poor', 'H. Vincent', '']]"
"[['Böhmer', 'Wendelin', '']]"
"[['Bartlett', 'Peter L.', ''], ['Tewari', 'Ambuj', '']]"
"[['Asmuth', 'John', ''], ['Li', 'Lihong', ''], ['Littman', 'Michael L.', ''], ['Nouri', 'Ali', ''], ['Wingate', 'David', '']]"
"[['Guez', 'Arthur', ''], ['Silver', 'David', ''], ['Dayan', 'Peter', '']]"
"[['Ross', 'Stephane', ''], ['Pineau', 'Joelle', '']]"
"[['Araya', 'Mauricio', ''], ['Buffet', 'Olivier', ''], ['Thomas', 'Vincent', '']]"
"[['Xie', 'Ning', ''], ['Hachiya', 'Hirotaka', ''], ['Sugiyama', 'Masashi', '']]"
"[['Neu', 'Gergely', ''], ['Szepesvari', 'Csaba', '']]"
"[['Pires', 'Bernardo Avila', ''], ['Szepesvari', 'Csaba', '']]"
"[['Wang', 'Yi', ''], ['Won', 'Kok Sung', ''], ['Hsu', 'David', ''], ['Lee', 'Wee Sun', '']]"
"[['Azar', 'Mohammad Gheshlaghi', ''], ['Munos', 'Remi', ''], ['Kappen', 'Bert', '']]"
"[['Painter-Wakefield', 'Christopher', ''], ['Parr', 'Ronald', '']]"
"[['Lee', 'Ritchie', ''], ['Wolpert', 'David H.', ''], ['Bono', 'James', ''], ['Backhaus', 'Scott', ''], ['Bent', 'Russell', ''], ['Tracey', 'Brendan', '']]"
"[['Akrour', 'Riad', ''], ['Schoenauer', 'Marc', ''], ['Sebag', 'Michèle', '']]"
"[['Qiao', 'Qifeng', ''], ['Beling', 'Peter A.', '']]"
"[['Czibula', 'Gabriela', ''], ['Crisan', 'Gloria Cerasela', ''], ['Pintea', 'Camelia-M.', ''], ['Czibula', 'Istvan-Gergely', '']]"
"[['Chen', 'Xianfu', ''], ['Zhang', 'Honggang', ''], ['Chen', 'Tao', ''], ['Lasanen', 'Mika', '']]"
"[['Sprangers', 'Olivier', ''], ['Lopes', 'Gabriel A. D.', ''], ['Babuska', 'Robert', '']]"
"[['Finney', 'Sarah', ''], ['Gardiol', 'Natalia', ''], ['Kaelbling', 'Leslie Pack', ''], ['Oates', 'Tim', '']]"
"[['Shelton', 'Christian R.', '']]"
"[['Weaver', 'Lex', ''], ['Tao', 'Nigel', '']]"
"[['Melo', 'Francisco', ''], ['Lopes', 'Manuel', '']]"
"[['Laslier', 'Benoit', ''], ['Laslier', 'Jean-Francois', '']]"
"[['Dearden', 'Richard', ''], ['Friedman', 'Nir', ''], ['Andre', 'David', '']]"
"[['Ortner', 'Ronald', ''], ['Ryabko', 'Daniil', '']]"
